feature,corr_with_target
d_log_price,1.0
ReferenceRateETH,0.5060702699215904
ReferenceRate,0.29032216971238134
ReferenceRateUSD,0.29032216971238134
ReferenceRateEUR,0.2275837015143188
ROI30d,0.21373547144680927
CapMVRVCur,0.0788028459848862
SplyExpFut10yr,-0.04354773670121269
SplyCur,-0.043135256098760684
volume_reported_spot_usd_1d,-0.04049864729939142
SplyExNtv,-0.03962044772641245
FlowInExNtv,-0.03908776753429423
IssTotNtv,0.037754185858216924
log_price,-0.03540908387325496
AdrBalCnt,-0.03212962223524693
BlkCnt,0.02875371276854874
AdrActCnt,-0.026061327466557226
TxTfrCnt,-0.025135923050540448
FlowInExUSD,-0.02463588776984934
HashRate,-0.02126507514929534
TxCnt,-0.02054436475793131
AssetCompletionTime,-0.01972257640298143
AssetEODCompletionTime,-0.01972257640298143
FlowOutExNtv,-0.017397844665320985
d_TxCnt,0.017082507245530464
PriceUSD,-0.016341761973381306
CapMrktCurUSD,-0.016256798722521473
IssTotUSD,-0.01618459703453838
SplyExUSD,-0.015829613860891545
FlowOutExUSD,-0.015506902771312645
